simulation,block_length,cagr,maxdd,terminal_wealth_multiple,final_capital,hit_cagr_target,hit_drawdown_limit,hit_both,severe_drawdown
4895,6,0.11075790243311934,-0.11746051415211001,6.509478173793332,65094.78173793332,True,True,True,False
4896,6,0.14726924935702868,-0.1020082369041666,11.588630935715777,115886.30935715778,True,True,True,False
4897,6,0.11603888478818947,-0.11311744271984514,7.084045172652635,70840.45172652636,True,True,True,False
4898,6,0.12113661539873322,-0.1008026068160498,7.683820914311557,76838.20914311557,True,True,True,False
4899,6,0.12026105656248687,-0.0929666595121521,7.577508420068101,75775.08420068101,True,True,True,False
4900,6,0.10265306317743317,-0.17276649810662126,5.712508259273032,57125.08259273032,True,False,False,False
4901,6,0.05287326465400621,-0.28296480031110594,2.506342465285376,25063.424652853762,False,False,False,True
4902,6,0.13658380252646452,-0.1545908817124544,9.80752483726036,98075.2483726036,True,False,False,False
4903,6,0.10570195512843661,-0.11095149496974344,6.000844630768127,60008.446307681275,True,True,True,False
4904,6,0.1141918284069039,-0.11015254993581303,6.877851268207307,68778.51268207307,True,True,True,False
4905,6,0.13337312390877787,-0.10750390127298814,9.325029739647798,93250.29739647798,True,True,True,False
4906,6,0.07359133701426424,-0.22368311847457134,3.547824585486395,35478.24585486395,True,False,False,True
4907,6,0.10242322692762107,-0.11564647771426162,5.69131111938299,56913.11119382991,True,True,True,False
4908,6,0.08896854956383704,-0.1860964169430529,4.572006561667472,45720.065616674714,True,False,False,False
4909,6,0.11276119889333569,-0.09366682975325036,6.722051958566876,67220.51958566876,True,True,True,False
4910,6,0.12375928331701802,-0.12704095606045573,8.010759900156726,80107.59900156726,True,True,True,False
4911,6,0.13114825013539444,-0.09492347482278829,9.003919067493475,90039.19067493475,True,True,True,False
4912,6,0.15480228984163458,-0.09397710720439945,13.02325412774797,130232.5412774797,True,True,True,False
4913,6,0.10833771621809851,-0.16204148471532787,6.261129259950613,62611.29259950614,True,False,False,False
4914,6,0.11235247974688067,-0.15075173034239298,6.678156930964538,66781.56930964538,True,False,False,False
4915,6,0.13103039095462687,-0.1766013784492373,8.987203266972914,89872.03266972915,True,False,False,False
4916,6,0.11399255604073888,-0.13704726086173158,6.855947502199487,68559.47502199486,True,True,True,False
4917,6,0.12908435513329342,-0.0968386741341094,8.715399192961844,87153.99192961844,True,True,True,False
4918,6,0.11434287441733582,-0.11661821543569217,6.894498046799747,68944.98046799746,True,True,True,False
4919,6,0.14446212798819946,-0.0867092788149546,11.093248958220826,110932.48958220826,True,True,True,False
4920,6,0.1458501469051472,-0.1286744410481463,11.335644260716014,113356.44260716015,True,True,True,False
4921,6,0.09148617857039931,-0.17442843988355983,4.764221645755112,47642.21645755112,True,False,False,False
4922,6,0.17411249169977427,-0.09851597579606941,17.504772504992975,175047.72504992975,True,True,True,False
4923,6,0.10697823432513376,-0.08246703229173813,6.125576359858065,61255.76359858065,True,True,True,False
4924,6,0.08132214520074688,-0.16302322720380702,4.032111831864308,40321.11831864308,True,False,False,False
4925,6,0.16269453014186785,-0.20361278304030506,14.705181527632872,147051.8152763287,True,False,False,True
4926,6,0.12903011729008984,-0.12760864352104473,8.707936075938425,87079.36075938426,True,True,True,False
4927,6,0.12511667598008125,-0.1511272704629565,8.185084792925366,81850.84792925366,True,False,False,False
4928,6,0.13217347408433655,-0.11966090370397642,9.150568217270987,91505.68217270987,True,True,True,False
4929,6,0.0938062123553074,-0.16321534899784174,4.948081878304146,49480.81878304146,True,False,False,False
4930,6,0.13626997734655966,-0.11647773453757171,9.759344560761782,97593.44560761782,True,True,True,False
4931,6,0.17941414983137283,-0.08778392978104543,18.969226418567263,189692.26418567263,True,True,True,False
4932,6,0.1041087785313426,-0.16475176236779077,5.8485053019061635,58485.053019061634,True,False,False,False
4933,6,0.1275128133756429,-0.10234819125838768,8.501583684105631,85015.83684105631,True,True,True,False
4934,6,0.1270159511726705,-0.16908237250313818,8.435020083587958,84350.20083587957,True,False,False,False
4935,6,0.1178952895754315,-0.13115073876860317,7.297152408783944,72971.52408783944,True,True,True,False
4936,6,0.10017173437383331,-0.15874985676738107,5.487551523919643,54875.51523919643,True,False,False,False
4937,6,0.11524278828916068,-0.12514962377966687,6.99446852432717,69944.6852432717,True,True,True,False
4938,6,0.08021280140066689,-0.1253912670525522,3.9589759938433753,39589.75993843375,True,True,True,False
4939,6,0.14896753919701422,-0.12278531849098251,11.898394680679681,118983.94680679681,True,True,True,False
4940,6,0.07756062013440279,-0.1401141973563167,3.7891679558509384,37891.679558509386,True,True,True,False
4941,6,0.11059095434887056,-0.10432305143079068,6.492052426096876,64920.52426096876,True,True,True,False
4942,6,0.08004475155264479,-0.26730387576419024,3.948006776697385,39480.06776697385,True,False,False,True
4943,6,0.11420332146794943,-0.11661821543569217,6.879116583501184,68791.16583501184,True,True,True,False
4944,6,0.11723017186206164,-0.15436040105859772,7.220113538692551,72201.13538692551,True,False,False,False
4945,6,0.10031389782195888,-0.21078132190521504,5.500210862230291,55002.108622302905,True,False,False,True
4946,6,0.08511227884631656,-0.14013457525212147,4.291723709335407,42917.237093354066,True,True,True,False
4947,6,0.12985932721837568,-0.1400305271144422,8.822696846675187,88226.96846675187,True,True,True,False
4948,6,0.10384303549298979,-0.26140112872863763,5.823452985144947,58234.529851449464,True,False,False,True
4949,6,0.11472808532187195,-0.1332460545692481,6.937124476989865,69371.24476989865,True,True,True,False
4950,6,0.10106588772758585,-0.1316219297764859,5.5676337362644714,55676.337362644714,True,True,True,False
4951,6,0.12583178101280335,-0.18885471247916807,8.278357120612409,82783.57120612409,True,False,False,False
4952,6,0.11214982885422708,-0.15660333705495944,6.65649339032165,66564.9339032165,True,False,False,False
4953,6,0.13166047393916136,-0.1717366905987764,9.076908568417362,90769.08568417362,True,False,False,False
4954,6,0.10350894838404456,-0.18885471247916807,5.792101396983891,57921.01396983891,True,False,False,False
4955,6,0.1250527978121425,-0.11619553694445528,8.176801498781328,81768.01498781328,True,True,True,False
4956,6,0.15824350151825683,-0.0911610136857599,13.73296735920363,137329.6735920363,True,True,True,False
4957,6,0.10157580507976083,-0.11415785496819897,5.613795599143058,56137.95599143059,True,True,True,False
4958,6,0.10456832291145779,-0.13710827569869077,5.892068030740596,58920.68030740596,True,True,True,False
4959,6,0.10128515040842645,-0.13184897071777202,5.587439092517513,55874.390925175125,True,True,True,False
4960,6,0.09983150713993028,-0.15405315831418975,5.457366626700827,54573.666267008266,True,False,False,False
